"GeneSymbol","log2FoldChange","padj","Source","Avg_Intron_FC","Median_Intron_FC","Avg_IntronExon_Ratio","Median_IntronExon_Ratio","Num_Retained_Introns","Scaled_Chromatin_FC","Scaled_Intron_FC","Scaled_IntronExon_Ratio","GRIPP_Score","GRIPP_Definition"
"PON1",1.59193321190884,0.00202541742856026,"Chromatin_Enriched",1.56219279597373,1.56219279597373,0.60622914349277,0.60622914349277,1,3.94094253071745,0.385483956792559,0.439845413843842,1.09295796235516,TRUE
"SPATA18",1.58764740018965,0.000228923812573637,"Chromatin_Enriched",2.23825608510659,2.10579689212215,0.604029445951182,0.604029445951182,5,3.91988271687973,2.34579686571645,0.43591385388126,1.08805436115814,TRUE
"WNK4",2.10764141525456,3.74966714572671e-07,"Chromatin_Enriched",2.37713236248233,2.44788375595755,0.347719141323793,0.347719141323793,4,6.47505262902476,2.74848247763918,-0.0221942780860679,1.06101360504728,TRUE
"PHKA2-AS1",1.21745925398806,0.0209663980616362,"Chromatin_Enriched",1.9699583755289,1.9699583755289,1.00626959247649,1.00626959247649,1,2.10083560171442,1.56784090808051,1.15484508216276,1.02810675146049,TRUE
"MIRLET7BHG",1.04469885562665,0.00197342490551962,"Chromatin_Enriched",1.6322852041195,1.58889051234347,1.61636896827513,1.61636896827513,4,1.2519178082122,0.588723882276396,2.24528694234414,1.00587302777866,TRUE
"CNIH2",1.41525334336301,0.00529752410410858,"Chromatin_Enriched",1.37499934098056,1.37499934098056,0.657284768211921,0.657284768211921,2,3.07276506884091,-0.157302128752548,0.531098073000549,1.0049083729482,TRUE
"CCDC151",1.36268994354891,0.0153615367249181,"Chromatin_Enriched",1.33293992266012,1.33293992266012,0.70843989769821,0.70843989769821,1,2.81447667744803,-0.279257605407909,0.622528578861712,0.998470723017275,TRUE
"ADHFE1",1.23411584493996,0.0159767868299262,"Chromatin_Enriched",1.98614331967702,1.98614331967702,0.913461538461538,0.913461538461538,2,2.18268350535595,1.61477076724275,0.98896753651308,0.998448154081389,TRUE
"ZNF138",0.833798541717791,0.0168210954959603,"Chromatin_Enriched",0.793036723170677,0.797017159338763,9.19471228615863,9.19471228615863,10,0.215586387177305,-1.84476075953713,15.7901996441946,0.995553816452862,TRUE
"MAP6",1.412730319036,0.000549826123836475,"Chromatin_Enriched",1.56196403305431,1.56196403305431,0.643774427694026,0.643774427694026,2,3.06036731874915,0.384820635900521,0.506950792360027,0.99251856888454,TRUE
"KANK1",1.03706625965202,0.00272375087650655,"Chromatin_Enriched",1.83605914018416,1.60054300044084,1.61597369947786,1.61597369947786,16,1.21441241580206,1.17958672572724,2.24458047113688,0.990570170219025,TRUE
"ZNF813",1.36722145881588,0.0082074082483111,"Chromatin_Enriched",1.12174347067328,1.12174347067328,0.685990338164251,0.685990338164251,1,2.83674384039825,-0.891642773784307,0.582404067299284,0.986402267424439,TRUE
"TMEM91",0.951919310791648,0.00726411899935023,"Chromatin_Enriched",1.11333671177235,1.11562470193528,2.4424911727143,2.4424911727143,9,0.796013519784352,-0.916019009353665,3.72183038605209,0.985965515480769,TRUE
"MYPN",1.08933039973297,0.00375926752957048,"Chromatin_Enriched",1.4513882640702,1.30393771846783,1.31508739650414,1.31508739650414,6,1.47123029129685,0.0641951695602939,1.7068008356664,0.983564032851854,TRUE
"MIATNB",0.875905647959507,0.0249635605991813,"Chromatin_Enriched",1.09767406853403,1.09767406853403,4.56487025948104,4.56487025948104,2,0.422494174265771,-0.961434404955674,7.51519764913847,0.981995695232371,TRUE
"CFP",1.44753470427163,0.00452332986655677,"Chromatin_Enriched",1.92228042839044,1.92228042839044,0.589928057553957,0.589928057553957,1,3.23139066784228,1.42959394696184,0.410710182471367,0.976290945332942,TRUE
"CARD9",1.18463159460311,0.00752814127166924,"Chromatin_Enriched",1.40452335250197,1.39080476221872,0.970976253298153,0.970976253298153,3,1.93952557675943,-0.0716943138645691,1.0917646464956,0.970369331156392,TRUE
"U2AF1",0.978261562896214,0.00375596250348528,"Chromatin_Enriched",1.91014750385419,1.83428342850037,2.03491042719339,2.03491042719339,4,0.925455259584615,1.39441332264201,2.99335380674376,0.970365538760959,TRUE
"CACNG7",1.78131818390711,1.14022700736468e-07,"Chromatin_Enriched",2.09002275277183,1.80475540891259,0.382561234155803,0.382561234155803,5,4.87155089974262,1.91597954006143,0.0400796366685831,0.965315110328837,TRUE
"ZIC5",1.23117798625268,0.000510814408395858,"Chromatin_Enriched",1.2649513633287,1.26501479556546,0.841227484989993,0.841227484989993,3,2.16824732358002,-0.476397211505254,0.859862281270285,0.954984094854858,TRUE
"MATN1-AS1",1.23336292264213,0.0127028367119803,"Chromatin_Enriched",2.14710905932031,2.14710905932031,0.825918762088975,0.825918762088975,1,2.17898376200148,2.08150697728302,0.832500718647252,0.948594637167068,TRUE
"POLI",1.03428539216335,0.00300934089136859,"Chromatin_Enriched",1.48803012817063,1.59420475101268,1.47903417052927,1.47903417052927,14,1.20074766441867,0.170441907636007,1.99982592687334,0.942323412066798,TRUE
"ZSCAN30",1.03026286720945,0.0114514793253019,"Chromatin_Enriched",1.15186760829408,1.15186760829408,1.4188767550702,1.4188767550702,1,1.18098160089624,-0.804294833439851,1.89230546935605,0.915332546585466,TRUE
"GUCA1B",1.33306861081583,0.00267009912201502,"Chromatin_Enriched",1.61260064023048,1.61260064023048,0.617044228694714,0.617044228694714,1,2.66892204419373,0.531646526770698,0.459175414977166,0.90742573916708,TRUE
"GRIP2",1.54158876332675,0.00645805487730415,"Chromatin_Enriched",3.62427790922228,3.62427790922228,0.443708609271523,0.443708609271523,1,3.69355772140492,6.36470532819071,0.14936946732791,0.905224657151105,TRUE
"PPAN-P2RY11",1.63550624704497,0.00021077578036422,"Chromatin_Enriched",1.5192978885356,1.52816823524927,0.392943035800179,0.392943035800179,5,4.1550536649519,0.261105896143966,0.0586352221128523,0.903520725002714,TRUE
"MTRF1",1.21205630863968,0.000377267642936905,"Chromatin_Enriched",1.31516545164424,1.31016157515138,0.786715278568987,0.786715278568987,11,2.0742863665479,-0.3307964561957,0.762431609923504,0.903291972921984,TRUE
"NLGN3",1.1723939383749,0.00426982202872038,"Chromatin_Enriched",1.81744665655269,1.86407670739583,0.859276278001149,0.859276278001149,4,1.87939163274549,1.12561797381247,0.892121221708226,0.898586848082044,TRUE
"FAM149A",1.35979667211675,0.0143197935582988,"Chromatin_Enriched",1.22007302299765,1.22007302299765,0.57644824311491,0.57644824311491,1,2.80025959052598,-0.606526433570944,0.386617461654249,0.898388758062003,TRUE
"MIR29B2CHG",1.02911677997049,0.0137447021426922,"Chromatin_Enriched",1.43031879023011,1.43031879023011,1.37072503419973,1.37072503419973,2,1.17534990602122,0.00310212957888027,1.80624301107505,0.897519231027273,TRUE
"GRHL3",1.79928110366922,0.000191368819248928,"Chromatin_Enriched",1.90921086792783,1.90921086792783,0.321398124467178,0.321398124467178,1,4.95981790047856,1.3916974533929,-0.069238316682929,0.892769895021261,TRUE
"ARHGEF4",1.11501724868114,0.00378685548926978,"Chromatin_Enriched",1.47342150032598,1.41035526024088,0.996366572466694,0.996366572466694,5,1.59745148167341,0.12808273475108,1.13714523195924,0.892089473504977,TRUE
"LRP5L",1.10324442878811,0.00181802048647215,"Chromatin_Enriched",1.4191299729513,1.57631587399133,1.01487501916884,1.01487501916884,4,1.53960167129046,-0.0293409616225139,1.17022571991177,0.883884402980187,TRUE
"GPR132",0.98989392040031,0.0301524544982343,"Chromatin_Enriched",1.49414438377581,1.54189459406248,1.58278145695364,1.58278145695364,3,0.9826148595813,0.188170801341593,2.18525536424865,0.881834615750705,TRUE
"LIN52",1.21632208881076,0.000915403884477002,"Chromatin_Enriched",1.84176241015078,1.69694487030841,0.735453943008615,0.735453943008615,5,2.09524774846613,1.19612392559945,0.670811279988462,0.877769394029358,TRUE
