"","DMSO_Chromatin_rep1","DMSO_Chromatin_rep2","DMSO_Chromatin_rep3","DMSO_Cytoplasm_rep1","DMSO_Cytoplasm_rep2","DMSO_Cytoplasm_rep3","DMSO_Nucleoplasm_rep1","DMSO_Nucleoplasm_rep2","DMSO_Nucleoplasm_rep3","GSK591_Chromatin_rep1","GSK591_Chromatin_rep2","GSK591_Chromatin_rep3","GSK591_Cytoplasm_rep1","GSK591_Cytoplasm_rep2","GSK591_Cytoplasm_rep3","GSK591_Nucleoplasm_rep1","GSK591_Nucleoplasm_rep2","GSK591_Nucleoplasm_rep3"
"RALGAPA1:14:35539690:35549106",163.030018778291,286.717570638242,281.087138788033,23.5350199398245,36.6715444428702,52.790231065379,4.97417705274914,5.11967580505402,9.65064378671251,295.125053963454,371.311444666626,293.780024045238,61.9712440159612,43.4592850748438,56.4561442534186,8.82190946193395,8.63467062785633,5.67515274116393
"RALGAPA1:14:35539690:35549109",163.030018778291,286.717570638242,281.087138788033,23.5350199398245,36.6715444428702,52.790231065379,4.97417705274914,5.11967580505402,9.65064378671251,295.125053963454,371.311444666626,293.780024045238,61.9712440159612,43.4592850748438,56.4561442534186,8.82190946193395,8.63467062785633,5.67515274116393
"RALGAPA1:14:35549234:35570616",47.4058919851767,75.5193601234654,76.26395238435,3.62077229843454,6.79102674867967,8.79837184422983,0.276343169597175,1.39627521956019,1.72332924762723,108.730283039167,167.824381770226,105.760808656286,11.9944343256699,3.83464280072151,4.03258173238704,0.490106081218553,2.39851961884898,0.773884464704172
"RALGAPA1:14:35572718:35595633",25.4373078944851,16.6398590102551,21.7897006812429,0,0,0,0.276343169597175,0,0,75.4455025169732,220.269501073422,85.615892721755,1.99907238761165,0,2.01629086619352,0,0.479703923769796,0
"RALGAPA1:14:35595789:35605585",61.2807872003504,104.959110680071,42.4899163284236,1.81038614921727,4.0746160492078,4.39918592211492,0,0.930850146373458,0,244.08839049609,130.063895871925,169.553042448966,13.9935067132816,1.27821426690717,22.1791995281287,1.47031824365566,0.479703923769796,1.0318459529389
"RALGAPA1:14:35686666:35689835",18.4998602868982,25.5997830927001,63.1901319756043,25.3454060890418,57.0446246889092,20.5295343032029,3.3161180351661,1.86170029274692,1.37866339810179,39.9417366266329,153.139748365332,77.222177749034,37.9823753646214,67.74535614608,16.1303269295482,4.41095473096697,3.83763139015837,4.12738381175558
"RALGAPA1:14:35688540:35689835",18.4998602868982,19.1998373195251,49.0268265327964,25.3454060890418,52.9700086397014,16.130348381088,2.76343169597175,0.930850146373458,1.37866339810179,31.0657951540478,92.3034099736246,62.113490798136,37.9823753646214,56.2414277439155,14.1140360633546,4.41095473096697,3.83763139015837,4.12738381175558
"RALGAPA1:14:35690003:35721687",72.8431998796618,101.119143216166,119.843353746836,14.4830891937382,8.1492320984156,23.4623249179462,5.25052022234632,2.79255043912037,3.10199264572902,248.526361232382,417.463149653438,223.272818274381,43.9795925274564,24.2860710712362,26.2117812605158,3.43074256852987,1.91881569507918,2.57961488234724
"RALGAPA1:14:35700302:35721687",69.3744760758683,101.119143216166,117.664383678711,14.4830891937382,6.79102674867967,23.4623249179462,5.25052022234632,2.79255043912037,3.10199264572902,232.993463655358,360.822420805987,204.806645334394,43.9795925274564,24.2860710712362,26.2117812605158,3.43074256852987,1.91881569507918,2.57961488234724
"RALGAPA1:14:35762753:35770941",46.2496507172456,29.4397505566052,23.9686707493672,0,4.0746160492078,1.46639530737164,1.38171584798587,0.465425073186729,0,84.3214439895583,205.584867668527,132.620696568993,3.99814477522331,10.2257141352574,6.04887259858056,0.490106081218553,0,1.0318459529389
